fiscal_year,product_name,area,trade_date,clearing_price_jpy_kwh,volume_mw,source
2023,BY2301B6,Kansai,2022-07-29,20.0,711.3,JEPX public baseload CSV
2023,BY2302B1,Hokkaido,2022-09-30,,,JEPX public baseload CSV
2023,BY2302B3,Tokyo,2022-09-30,37.67,3.1,JEPX public baseload CSV
2023,BY2302B6,Kansai,2022-09-30,25.11,207.0,JEPX public baseload CSV
2023,BY2303B1,Hokkaido,2022-11-30,29.95,0.3,JEPX public baseload CSV
2023,BY2303B3,Tokyo,2022-11-30,31.0,40.0,JEPX public baseload CSV
2023,BY2303B6,Kansai,2022-11-30,23.5,80.5,JEPX public baseload CSV
2023,BY2304B1,Hokkaido,2023-01-31,,,JEPX public baseload CSV
2023,BY2304B3,Tokyo,2023-01-31,25.3,0.6,JEPX public baseload CSV
2023,BY2304B6,Kansai,2023-01-31,20.0,30.9,JEPX public baseload CSV
2024,BY2401B3,Tokyo,2023-08-31,16.99,116.5,JEPX public baseload CSV
2024,BY2401B6,Kansai,2023-08-31,11.05,324.6,JEPX public baseload CSV
2024,BY2401B9,Kyushu,2023-08-31,13.03,2.0,JEPX public baseload CSV
2024,BY2402B3,Tokyo,2023-10-20,16.95,11.7,JEPX public baseload CSV
2024,BY2402B6,Kansai,2023-10-20,11.62,92.0,JEPX public baseload CSV
2024,BY2402B9,Kyushu,2023-10-20,,,JEPX public baseload CSV
2024,BY2403B3,Tokyo,2023-11-28,15.4,36.2,JEPX public baseload CSV
2024,BY2403B6,Kansai,2023-11-28,12.0,81.5,JEPX public baseload CSV
2024,BY2403B9,Kyushu,2023-11-28,11.76,6.5,JEPX public baseload CSV
2024,BY2404B3,Tokyo,2024-01-31,12.2,6.5,JEPX public baseload CSV
2024,BY2404B6,Kansai,2024-01-31,9.56,15.9,JEPX public baseload CSV
2024,BY2404B9,Kyushu,2024-01-31,,,JEPX public baseload CSV
2025,BY2501B3,Tokyo,2024-08-30,15.6,41.0,JEPX public baseload CSV
2025,BY2501B6,Kansai,2024-08-30,12.97,14.8,JEPX public baseload CSV
2025,BY2501B9,Kyushu,2024-08-30,13.41,0.3,JEPX public baseload CSV
2025,BY2502B3,Tokyo,2024-10-18,15.65,1.4,JEPX public baseload CSV
2025,BY2502B6,Kansai,2024-10-18,13.31,10.7,JEPX public baseload CSV
2025,BY2502B9,Kyushu,2024-10-18,,,JEPX public baseload CSV
2025,BY2503B3,Tokyo,2024-11-27,16.05,80.0,JEPX public baseload CSV
2025,BY2503B6,Kansai,2024-11-27,13.36,110.3,JEPX public baseload CSV
2025,BY2503B9,Kyushu,2024-11-27,13.53,9.8,JEPX public baseload CSV
2025,BY2504B3,Tokyo,2025-01-31,15.27,3.1,JEPX public baseload CSV
2025,BY2504B6,Kansai,2025-01-31,12.58,7.0,JEPX public baseload CSV
2025,BY2504B9,Kyushu,2025-01-31,,,JEPX public baseload CSV
2026,BY2601B3,Tokyo,2025-08-29,13.3,10.0,JEPX public baseload CSV
2026,BY2601B6,Kansai,2025-08-29,11.75,38.6,JEPX public baseload CSV
2026,BY2601B9,Kyushu,2025-08-29,11.0,4.6,JEPX public baseload CSV
2026,BY2602B3,Tokyo,2025-10-17,13.0,20.0,JEPX public baseload CSV
2026,BY2602B6,Kansai,2025-10-17,11.65,17.4,JEPX public baseload CSV
2026,BY2602B9,Kyushu,2025-10-17,11.05,0.6,JEPX public baseload CSV
2026,BY2603B3,Tokyo,2025-11-26,12.42,15.0,JEPX public baseload CSV
2026,BY2603B6,Kansai,2025-11-26,11.13,17.0,JEPX public baseload CSV
2026,BY2603B9,Kyushu,2025-11-26,10.45,0.6,JEPX public baseload CSV
2026,BY2604B3,Tokyo,2026-01-30,12.39,2.9,JEPX public baseload CSV
2026,BY2604B6,Kansai,2026-01-30,11.15,2.8,JEPX public baseload CSV
2026,BY2604B9,Kyushu,2026-01-30,,,JEPX public baseload CSV
